Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Mania-be,Terra Cogita,Yopuka,1117,197,102,200.0,65.89,56377
Tank-pchakh,Terra Cogita,Yopuka,1097,333,189,200.0,63.79,48583
Rivotrill,Grandapan,Yopuka,1080,147,17,200.0,89.63,48194
Rolex-l,Herdegrize,Xelor,1163,117,26,200.0,81.82,40982
Ghold,Terra Cogita,Sadida,1149,120,23,200.0,83.92,40703
Ibelak,Herdegrize,Sacrogrito,1119,149,62,200.0,70.62,38114
Rikaua,Dodge,Pandawa,1099,151,43,200.0,77.84,38002
Jack-Danll,Terra Cogita,Sacrogrito,1128,116,45,200.0,72.05,34513
Alanah,Oshimo,Sacrogrito,1120,125,42,200.0,74.85,33210
Andresfenix,Brutas,Osamodas,1129,86,43,200.0,66.67,31932
Amenaze,Brutas,Feca,1111,114,25,200.0,82.01,30019
Maryijuana,Oshimo,Sram,1164,84,13,200.0,86.6,28753
Acetona,Grandapan,Aniripsa,1083,150,15,200.0,90.91,28555
Testiabis,Herdegrize,Feca,1105,151,68,200.0,68.95,28080
Crisis-s,Oshimo,Steamer,1154,221,125,200.0,63.87,27970
Elporro-demil,Brutas,Zurcarak,1028,234,111,200.0,67.83,27890
Sephiroth-Il,Oshimo,Zobal,1082,166,80,200.0,67.48,27212
Omega-Terrel,Terra Cogita,Sacrogrito,1006,206,112,200.0,64.78,26770
Seigneur-Destem,Oshimo,Xelor,1144,102,32,200.0,76.12,26619
Hardixa,Terra Cogita,Aniripsa,1124,154,105,200.0,59.46,26373
Nunu-diste,Terra Cogita,Anutrof,1122,93,36,200.0,72.09,25551
Habraham,Oshimo,Anutrof,1088,120,43,200.0,73.62,25170
Blaanchee,Terra Cogita,Pandawa,1055,140,0,200.0,100.0,24624
Mamy-mae,Oshimo,Anutrof,1127,63,0,200.0,100.0,24152
Goutteuse,Terra Cogita,Anutrof,1061,181,104,200.0,63.51,24041
Stormy-black,Dodge,Xelor,1138,133,73,200.0,64.56,23806
Kalzer-ll,Herdegrize,Anutrof,1098,80,32,200.0,71.43,23595
Boborne,Herdegrize,Aniripsa,1155,85,24,200.0,77.98,23397
El-cura,Brutas,Aniripsa,1131,98,35,200.0,73.68,23098
Romain-Shaad,Terra Cogita,Aniripsa,1127,131,42,200.0,75.72,22263
Munsterlove,Herdegrize,Osamodas,1082,133,47,200.0,73.89,21815
Kyloa,Oshimo,Pandawa,1115,101,34,200.0,74.81,21515
Moltoza,Terra Cogita,Yopuka,1137,66,23,200.0,74.16,21468
Dj-Upper,Terra Cogita,Tymador,1091,106,57,200.0,65.03,21201
